source_label,economic_class,suggested_transformation,approved_transformation,unit,source_file,source_vendor,source_field,availability_timestamp_or_timezone,availability_lag_trading_days,missing_value_rule,sentinel_value_rule,observed_start,observed_end,observations,missing_fraction,nonpositive_observations,pilot_eligible,pilot_exclusion_reason,confirmatory_eligible,exclusion_reason,reviewed_by,reviewed_on
UK Gilts 10 Yr,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
UK Gilts 30 Year,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
UK Gilts 5 Year,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,148,True,,True,,Rule-based audit,2026-09-03
US Generic Govt 10 Yr,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
US Generic Govt 2 Yr,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
US Generic Govt 5 Yr,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
US Initial Jobless Claims SA,macro_release,EXCLUDE,EXCLUDE,published level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,False,Release vintage and publication timestamp are unavailable.,False,Release vintage and publication timestamp are unavailable.,Rule-based audit,2026-09-03
USD-CAD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
USD-CHF X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
USD-CLP RR 25D 3M,option_risk_reversal,DIFFERENCE,DIFFERENCE,volatility points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-07-03,5815,0.009538409129620166,237,True,,True,,Rule-based audit,2026-09-03
USD-GBP X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
USD-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
