source_label,economic_class,suggested_transformation,approved_transformation,unit,source_file,source_vendor,source_field,availability_timestamp_or_timezone,availability_lag_trading_days,missing_value_rule,sentinel_value_rule,observed_start,observed_end,observations,missing_fraction,nonpositive_observations,pilot_eligible,pilot_exclusion_reason,confirmatory_eligible,exclusion_reason,reviewed_by,reviewed_on,pilot_applied_lag_asset_sessions
Swiss Franc Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Swiss Franc Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
TR/CC CRB ER Index,commodity,LOG_DIFFERENCE,LOG_DIFFERENCE,price or index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,TR/CC CRB ER Index,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Treasury,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Treasury,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Turkish Lira Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Turkish Lira Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
U.S. Aggregate,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,U.S. Aggregate,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
U.S. Corporate High Yield,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,U.S. Corporate High Yield,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
U.S. TIPS,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,U.S. TIPS,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
U.S. Treasury,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,U.S. Treasury,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
UK Gilts 10 Yr,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,UK Gilts 10 Yr,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
UK Gilts 30 Year,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,UK Gilts 30 Year,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
UK Gilts 5 Year,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,UK Gilts 5 Year,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,148,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
US Generic Govt 10 Yr,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,US Generic Govt 10 Yr,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
US Generic Govt 2 Yr,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,US Generic Govt 2 Yr,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
US Generic Govt 5 Yr,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,US Generic Govt 5 Yr,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
US Initial Jobless Claims SA,macro_release,EXCLUDE,EXCLUDE,published level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,US Initial Jobless Claims SA,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,False,Release vintage and publication timestamp are unavailable.,False,Release vintage and publication timestamp are unavailable.,Rule-based audit,2026-09-03,0
USD-CAD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,USD-CAD X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
USD-CHF X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,USD-CHF X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
USD-CLP RR 25D 3M,option_risk_reversal,DIFFERENCE,DIFFERENCE,volatility points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,USD-CLP RR 25D 3M,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-06-30,5814,0.009540034071550256,237,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
USD-GBP X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,USD-GBP X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
USD-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,USD-JPY X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
